entity,pillar,title,url,source,date,demographics,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Angola,Jobs & Employment,Angola’s Block 2/05 advances with successful Espadarte appraisal well,https://worldoil.com/news/2026/5/12/angola-s-block-2-05-advances-with-successful-espadarte-appraisal-well/,World Oil,12 May 2026,,"(WO) — Etu Energias and its partners in Angola’s Block 2/05 have successfully completed drilling, completion and testing operations at the Espadarte 7ST2 appraisal well in the Lower Congo basin offshore Angola.","The extended-reach deviated well, drilled to a maximum inclination of approximately 75 degrees, encountered eight productive intervals with a combined net thickness of 175 ft measured depth, confirming the presence of high-quality reservoirs with favorable porosity and permeability characteristics.","Initial production testing delivered stabilized flow rates between 2,000 bopd and 2,500 bopd with no associated water production, results the partners said reinforce the field’s development potential and support efforts to optimize production from the block.",yes,no,0,10
Angola,Jobs & Employment,OBITUARY: Rita Pauline Midtgard,https://news.google.com/rss/articles/CBMiTkFVX3lxTE0tV0M2OWhKZ3NXMlJfeEpiQmlnRkRPaXpFSjBIVlRTZUd5Vkp2NnRJUC1rUlh0Z3ljMGVBRFdwRnloYV9RZkVwS1RBY0M3QQ?oc=5,WTVB,11 May 2026,,,,,no,yes,1,7
Angola,Jobs & Employment,Angola builds on Berlin momentum ahead of Global Tourism Forum in Luanda from 7 to 9 May 2026,https://traveltomorrow.com/angola-builds-on-berlin-momentum-ahead-of-global-tourism-forum-in-luanda-from-7-to-9-may-2026/,Travel Tomorrow,9 May 2026,,,,,no,no,2,6
Angola,Macroeconomy,Landry wants to spend $46 million on immigration detention,https://news.google.com/rss/articles/CBMiekFVX3lxTFBmQ3RvMzljak9hYXd3bE9NZUpxeG9XY1lFNXpIdXZoMjlVZDhGbUs0M1hxeVQ2a0ZLWnBlVHNHSllib1E1UWJMeHh1VFc2TWZzRVRzNm9SSDRiSW9mNVRrbm5INUtjYVZfM0ZON3JzazRTV2stMkYwUlRB?oc=5,Verite News,12 May 2026,,,,,no,yes,0,8
Angola,Macroeconomy,"Angola central bank trims key rate, lowers year-end inflation forecast",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNdGo3MHAzQWYzWkpOWHNROElKdl95ZHI4eHdTMWp4Slk4Y05aWVJEUWw2OE5SSWxKaHd6OVh0UXdoS1BCQ2xCQWlrM2lhTFhUUG9JeENWVjZzVlp5ak5XNTFCNmdtNDNJNnFsMzBIUlYzUmdDMWhzdzBPZUp2YVh4VmhtWkVpRmtNUDVYbWMwWGhhUTNaNXlnVG5oWHo4dDFiUm5yMTNMMkJheEZNQ3NTajF3NkVWMWFWYlg1aUJBczNoanVqRmJ3Y0pPREt6dGlhSXNja0pR?oc=5,TradingView,14 May 2026,,,,,no,yes,1,7
Angola,Macroeconomy,Angola’s Central Bank Lowers 2026 Inflation Target as Economic Outlook Stabilizes,https://trendsnafrica.com/angolas-central-bank-lowers-2026-inflation-target-as-economic-outlook-stabilizes/,Trendsnafrica,15 May 2026,,,,,no,no,2,8
Angola,Digital Economy,Angola plans national education and research network,https://www.telecompaper.com/angola-plans-national-education-and-research-network/,Telecompaper,14 May 2026,,,,,no,no,0,8
Angola,Digital Economy,Angola SMEs Diversification Drives Digital Growth,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBHQTRoQ0QzUTNEZkt6NWliTFhNZ3hyNXNudUZiM3BGXzFGa3laRzNhdU5aLVlNWDVOQmllcmUyT01hSkhPd3pMZw?oc=5,MEXC,11 May 2026,,,,,no,yes,1,7
Angola,Digital Economy,BantuBet celebrates five years in Angola as African betting expansion continues,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVG1QRVlNSTBHTXBhNFJIdV9faFVfeGpYSFJBVFBjS2oydm5TNmd6R0syemM3ZmFuZTlVS2RULWk4N2ExcXFSeGh0bFdsTXhxRm5ENS1Oa0cyMy1aWUpOV0xRVjY4d2tPcmhGd01VUEJKVlB5MnpHZGpCTGFTNklpMnB1amZtc0NnVm1uenplTHBDWmZQ?oc=5,Focus Gaming News,11 May 2026,,,,,no,yes,2,6
Angola,Governance,Pope Leo XIV visits Angola to deliver message of hope and peace,https://news.google.com/rss/articles/CBMi9gJBVV95cUxQeHBFX2ZIWGppcE10RlM3WTBhaWR0OVF6bUtPamtNVWlqSUtZWlZjVmdLUmttd0JyOUxSQUZlRU1fLTVWZk5tVHJtSjNYdnpqcmlGazNWX0FXR2Z5aFFOR1lTelVFSVlmc1E5dWMzRnJnYVJaUjVMTUQ0cmhtZFRCZ08tQnkwZzcwSGx6ZEtmV3pDa0dlTnpkT3E1VEtSRkpLcEtFWFBhY09meWo4eEwzeGJGYk5zS0RYZlJyUHU4c21hVDA1Y2pxM0RCTnZySzhWSEFGVndraEdqM3ZxTk5FUVNLeTJZSUJMcjVIdXdFR2RDSVJsTmpsdUpXRXFLSWpYdXhNbF9FTFNCWlBQQ29HYlpUcXZCR1Nsb0JjR2FuYXFvX0licEFjbEJFLWFrUWFnRVp5ZURHT0RTQjlrZzZ1b2hkRFU3R051MHF3ajBUMVBaZnBvQkxucWhUSGVKTE9ta3FDZ2dKZE9xU3RUVlVFWVpoNndIQQ?oc=5,MSN,11 May 2026,,,,,no,yes,0,8
Angola,Governance,Angola’s President Visits Algeria’s Fouka 2 Desalination Plant During State Visit,https://al24news.dz/en/angolas-president-visits-algerias-fouka-2-desalination-plant-during-state-visit/,AL24 News,13 May 2026,,,,,no,no,1,7
Angola,Governance,UN Global Compact launches Angola Network to advance sustainable business,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1NVVE1YmttR0I1QlNQWF8yYlcyTWt1VjR1WTl1aG9mblNKWGljYWs4ajNBTGE1YjRuckdSUkRLbExEaThkbGg3MVFKcDI2NWtua1ZXTHVkSjlkQTBoQ3hXVE9ua3lJU0Jf?oc=5,aap.com.au,11 May 2026,,,,,no,yes,2,6
