entity,pillar,title,url,source,date,demographics,wdl_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Angola,Jobs & Employment,"Integrated Biological and Behavioral Survey (IBBS) on HIV, Syphilis and Hepatitis B among Female Sex Workers, Men who have Sex with Men and Transgender Women in Angola",https://news.google.com/rss/articles/CBMi_AFBVV95cUxOQVlhUmdjN2RmUmx4Y29raXZQN3RsYUZOd0dMcWEyMFFLR2ZRNGp1bEFpU0VpTEhJb1BpTW44NU41cXhUaTk3SENIRXdrVGItTkhDTnBJcVpJaTJsN1MtQ3VlNF9ZS252azZDV1JYdm1KeWlUYTBvMG1zXzZfM3hVTG1DcWhHbkVYX0tZY3JyTzdFQzNMY0tvRlV0WHp3Qlc1aVZucHBtR2ZhM3RXYnJmNjIxY1hCR2Y2SktQSlZ4c3p2Z3N1dVdIOXNLdVBqTG16YXpkMUpGZ1IyZU5ZT1luc0RXY0FoM0w3dDlTV0pzazdOeHVlUW81QVZwcGQ?oc=5,United Nations Development Programme,10 Jul 2026,Women,no,,,,no,yes,0,8
Angola,Jobs & Employment,Midnight Recovery to perform Sunday in Cassadaga,https://news.google.com/rss/articles/CBMiowFBVV95cUxNZ05MN0JwZHdYa3dhUXhwazNPR3hZekxDUWFyN0FOODVadDU1TmY3Sk5OR1ZkaG4yRkNiRTVMbjd4S1JTX0lOTlZTSTFnZjN5dGdObDNiYlhCVnBQWjNnMkhhYXV1S3NsNVRQWkRTVmhZeTdUSmNGV3BQNVpRNFI5UjV5NmpDd1ZqOHhrRWtMdUlVdjNEVlNGa2E2QUM0RGhxUXNB?oc=5,Post Journal,11 Jul 2026,,no,,,,no,yes,1,7
Angola,Jobs & Employment,"Namibia secures China deals on infrastructure, mining and energy with state visit",https://kfgo.com/2026/07/10/namibia-secures-china-deals-on-infrastructure-mining-and-energy-with-state-visit/,The Mighty 790 KFGO,10 Jul 2026,,no,,,,no,no,2,6
Angola,Jobs & Employment,Over 1000 Namibian workers seek landmark victim status in Iceland…,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNdzdLcjV1eG01YmpQU2JFTDlWMXozS0VLNFNTS3Q1YVl6M2J3cTliMkdBbmdRSFNCZ2tJT1hqOGVmTm9BYUdIc3hjeUhrcDZvU01FYkVOYXExNDJjRUFyYzZRenNTNG53ai1pallPcUI3UFRRX1BONjFCb0VoVFlDUXdLVE1KdFprUmhxbXVLVDlsV1kxTkVKdkF5dU9DVXpHWHRhVnFhNU45VnEzaFZLVHBJVWhsWF9RZndQZWxwanVUeWhsejFINWhmRDFONzJ2RUg3V3lmanVRWlNZdGM2T2RNM1lPLXhhbGpPcA?oc=5,Transparency.org,9 Jul 2026,,no,,,,no,yes,3,5
Angola,Jobs & Employment,Angola Seeks to Raise About $320 Million in Nation’s Biggest IPO,https://news.google.com/rss/articles/CBMitAFBVV95cUxNMWJoaXFOYWpHaHI2WkNObldmMzJZOTd0RFdtcTZRRllwV3BYQ2hSOUhEQWt1MHB1MDJlVHFqb19PWTJBT0IwcGZkWkR1Z3FMUjR5eWVjczVPdFZic2Z1SlU4VlZpZmFsd0hmUHRuN0Iyakl2bDZ2Z1RyOXRLMEd5MFhsR3E0U00yWTkzaTNxeXdiQV9HWTlENEpiS2lyeGNzbU1KaGVlc3dINFVmdFROb3d4aHk?oc=5,Bloomberg.com,7 Jul 2026,,no,,,,no,yes,4,11
Angola,Macroeconomy,"Angola, Ohio National Guard strengthen enduring partnership through the State Partnership Program before ACHOD 2026",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPS1A1dVlyVkVqWjJYX0JHQVFzeTF2dHl3U1N2S3pNOV84SzYtXy1JcUhhU09XWWJkVm44U1FNRFEwZGhVbmNxOEhONDZhejlaMl9temVodXpCZ1ExcGZqTnFYVXlKSVRaVE5HSTd3SlhQRGJ0RnJFckNXemxab3VKc1BMSGNlMUtURnV6SndxSFFuek9LOVRuSEZ5Wm5pQkdLSmxValhwTzMzaVNmN001NWMtdmg1SFRUYWprZll1V3YyMV80THIxRlZlbjRnc3NObFdybGNlNWttY0VXRzh0V1JWd0XSAeoBQVVfeXFMTmlEaHhQTjFqYmc4bmtkSlh4eDBmaFdEQ1BMdk5GOXBkcDc4WlVMZFRPV3ExTld5MEpZdXZ6Z3lIa2lMVWVRQ1dRbHVJU05WQTktbUgzRTdyTk82R0tXSVlscWdFLTdudGZ0cm9OUlB6LVZ3TG9zdklRVk9ZdHFjaDB2aU1yZHRQU3pjXzlKdU44cm05WGZvZ3F6NkFGMEZHMUJ0WndvQWlEOWphd3M0YnAzakpoQzJSbkVSdklIeVRtb0RYZm5oeHg2YUp0U05PQ3JoOGQzam91b0h2NFY1QTkwNGxjRnUzbXBB?oc=5,army.mil,8 Jul 2026,,no,,,,no,yes,0,8
Angola,Macroeconomy,BMI | Angola Inflation To Ease Further,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQSm1ybllDUkZ1MFJnTUVzYjlBMXJwS1pkTDZHWVJsanB3SEVGR1kwM19xX01OTURqckJZUy1mUG9EbDdtMTRQbXlEOVdmQkVoNHdneGJ2Z0NHYU5DRWMyVGVvblU0dW1fajJBczVBTVVLc1JHSEZIeWd1MnZfODNJbWZSYzQyTnhLam5IWHhkUmE5YjRzeDBvWVFucWM4MnFmbWhITFRzQUkzcjVrVlNleXRTVF9SM00tTXpSWFgtSjM3bUJKOXZFYklxVXpUY25mV1JaZFJFb0RicXVTd3Zjbg?oc=5,Fitch Solutions,7 Jul 2026,,no,,,,no,yes,1,7
Angola,Macroeconomy,Angola Inflation Rate Falls for 23rd Month,https://news.google.com/rss/articles/CBMimAFBVV95cUxQYUxDb3R1SEY4b2M2Z0hHaVVaZHJ5WUhScnlPUUtxU1VRUGFWbVhTeThZSDk1UGc4NXFnXzVKeldpa1FEbi1aazRPOGVRNk9LWVZSOFJPQ1RzZVFNZkdkZDYydWJyRGlQMXdSTWFBSExaTGFJekRnUi1rOVg3TUczY05NMGY5TTlaR3ZLMTNKWWpfRnczbE1yaA?oc=5,TradingView,8 Jul 2026,,no,,,,no,yes,2,6
Angola,Macroeconomy,African Chiefs of Defense meet for ACHOD 2026 [Image 6 of 8],https://www.dvidshub.net/forgotpassword/?text=African+Chiefs+of+Defense+meet+for+ACHOD+2026++Image+6+of+8,DVIDS,9 Jul 2026,,no,,,,no,no,4,4
Angola,Macroeconomy,Lobito Corridor Railway reaches $753m financial close,https://news.google.com/rss/articles/CBMihAFBVV95cUxPX0pVeWxuOEVkRDNCbXBFVTU2TktyVVdjc2dxazVXRndFbUFLaFJLUk9HdXQwLWtQYnFKQmpfRXdibS1PZDA0ODRhUmlmdjJIbVR6N19CbkxsdGR4LUtBNll3Y0xQVjRyaUd5cHFoLXhWUGt1ZklWZHBCamlZRVZSa1BMUDM?oc=5,africaprivateequitynews.com,10 Jul 2026,,no,,,,no,yes,5,3
